zip,leaid
45601,3904374
45601,3904374
45601,3904374
45601,3904374
45601,3904374
45601,3904374
45601,3904374
45601,3904374
45224,3904375
45214,3904375
45237,3904375
45227,3904375
45229,3904375
45205,3904375
45216,3904375
45214,3904375
45223,3904375
45211,3904375
45220,3904375
45224,3904375
45238,3904375
45210,3904375
45237,3904375
45238,3904375
45206,3904375
45230,3904375
45219,3904375
45211,3904375
45215,3904375
45216,3904375
45203,3904375
45214,3904375
45225,3904375
45207,3904375
45219,3904375
45208,3904375
45208,3904375
45223,3904375
45208,3904375
45237,3904375
45227,3904375
45226,3904375
45238,3904375
45225,3904375
45239,3904375
45230,3904375
45229,3904375
45225,3904375
45204,3904375
45207,3904375
45208,3904375
45224,3904375
45213,3904375
45203,3904375
45205,3904375
45214,3904375
45229,3904375
45225,3904375
45214,3904375
45237,3904375
45210,3904375
45214,3904375
45233,3904375
45219,3904375
45223,3904375
45213,3904375
45236,3904375
45229,3904375
45237,3904375
45219,3904375
45214,3904375
45210,3904375
45207,3904375
45214,3904375
45210,3904375
45238,3904375
45211,3904375
45205,3904375
45206,3904375
45232,3904375
45232,3904375
45208,3904375
45213,3904375
45237,3904375
45232,3904375
45207,3904375
45202,3904375
45227,3904375
45238,3904375
45201,3904375
45219,3904375
43113,3904376
43113,3904376
43113,3904376
43113,3904376
43113,3904376
43113,3904376
44621,3904377
44683,3904377
44683,3904377
44621,3904377
44621,3904377
44683,3904377
44683,3904377
44105,3904378
44122,3904378
44120,3904378
44120,3904378
44104,3904378
44102,3904378
44105,3904378
44120,3904378
44104,3904378
44135,3904378
44104,3904378
44109,3904378
44106,3904378
44111,3904378
44104,3904378
44109,3904378
44108,3904378
44135,3904378
44103,3904378
44103,3904378
44109,3904378
44120,3904378
44108,3904378
44106,3904378
44128,3904378
44135,3904378
44102,3904378
44110,3904378
44105,3904378
44105,3904378
44106,3904378
44109,3904378
44104,3904378
44135,3904378
44103,3904378
44110,3904378
44103,3904378
44104,3904378
44128,3904378
44108,3904378
44112,3904378
44108,3904378
44108,3904378
44105,3904378
44111,3904378
44103,3904378
44103,3904378
44108,3904378
