zip,leaid
67839,2005550
67839,2005550
67839,2005550
67801,2005580
67801,2005580
67801,2005580
67801,2005580
67801,2005580
67801,2005580
67801,2005580
67801,2005580
67801,2005580
67801,2005580
67801,2005580
67801,2005580
67039,2005610
67039,2005610
67039,2005610
66020,2005640
66020,2005640
66020,2005640
66048,2005640
66016,2005700
66023,2005700
66023,2005700
66041,2005700
66023,2005700
66023,2005700
67042,2005730
67042,2005730
67042,2005730
67042,2005730
67042,2005730
67042,2005730
67042,2005730
67042,2005730
67352,2005760
67352,2005760
67950,2005790
67950,2005790
67950,2005790
67425,2005800
67425,2005800
67425,2005800
67401,2005800
67526,2005820
67526,2005820
67526,2005820
67637,2005850
67637,2005850
67439,2005870
67439,2005870
67454,2005870
67444,2005870
66024,2005910
66024,2005910
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66801,2005940
66733,2006000
66733,2006000
66740,2006000
66771,2006000
66771,2006000
66776,2006000
66776,2006000
66420,2006060
66423,2006060
66423,2006060
66431,2006060
66025,2006090
66025,2006090
66025,2006090
66025,2006090
67045,2006120
67045,2006120
66777,2006120
67045,2006120
67045,2006120
66701,2006180
66701,2006180
66701,2006180
66701,2006180
67844,2006210
67844,2006210
67154,2006240
67123,2006240
67154,2006240
66736,2006270
66736,2006270
66736,2006270
66763,2006300
66763,2006300
66027,2006330
66027,2006330
66027,2006330
66027,2006330
66739,2006360
66739,2006360
66739,2006360
66739,2006360
66739,2006360
67846,2006390
67845,2006390
67846,2006390
67846,2006390
67846,2006390
67846,2006390
67846,2006390
67846,2006390
67846,2006390
67846,2006390
67846,2006390
67846,2006390
67846,2006390
67846,2006390
67853,2006390
67846,2006390
67846,2006390
67846,2006390
66030,2006420
66030,2006420
66030,2006420
66021,2006420
66032,2006450
66032,2006450
66032,2006450
66033,2006450
66091,2006450
66093,2006450
66743,2006480
66743,2006480
66743,2006480
67445,2006510
67445,2006510
67466,2006510
67466,2006510
67052,2006540
67052,2006540
67052,2006540
67052,2006540
67053,2006570
67053,2006570
67735,2006580
67735,2006580
67735,2006580
67735,2006580
67735,2006580
67737,2006630
67737,2006630
67530,2006660
67530,2006660
67530,2006660
67530,2006660
67530,2006660
67530,2006660
67530,2006660
67530,2006660
67530,2006660
67530,2006660
67879,2006690
67879,2006690
67054,2006720
67054,2006720
67738,2006780
67738,2006780
67738,2006780
67016,2006840
67056,2006840
67056,2006840
66853,2006870
66853,2006870
67849,2006900
67849,2006900
66854,2006930
66864,2006930
66865,2006930
66865,2006930
67501,2006960
67543,2006960
67543,2006960
67585,2006960
67108,2006960
67566,2006960
67543,2006960
67059,2006990
67059,2006990
67601,2007020
67601,2007020
67601,2007020
67601,2007020
67601,2007020
67601,2007020
67601,2007020
67601,2007020
67601,2007020
67667,2007020
67627,2007020
67601,2007020
67217,2007050
67060,2007050
67060,2007050
67215,2007050
67060,2007050
67060,2007050
67850,2007080
67850,2007080
67449,2007110
67449,2007110
67449,2007110
67739,2007140
67739,2007140
67062,2007170
67062,2007170
67062,2007170
66035,2007230
66035,2007230
67625,2007260
67642,2007260
67642,2007260
67642,2007260
67063,2007290
67063,2007290
67063,2007290
67544,2007320
67544,2007320
67544,2007320
67544,2007320
67851,2007350
67851,2007350
67851,2007350
66436,2007380
66436,2007380
66436,2007380
66436,2007380
67450,2007410
67490,2007410
67490,2007410
67490,2007410
67450,2007410
67427,2007410
67634,2007410
67451,2007440
67451,2007440
66872,2007440
66872,2007440
66424,2007470
66439,2007470
66439,2007470
67349,2007500
67353,2007500
67137,2007500
67740,2007530
67740,2007530
67951,2007560
67951,2007560
67951,2007560
66748,2007590
66748,2007590
66748,2007590
67501,2007620
67501,2007620
67501,2007620
67501,2007620
67501,2007620
67501,2007620
67501,2007620
67502,2007620
67501,2007620
67502,2007620
67501,2007620
67501,2007620
67501,2007620
67501,2007620
67301,2007650
67301,2007650
67301,2007650
67301,2007650
67301,2007650
67853,2007680
67853,2007680
67546,2007710
67546,2007710
66751,2007740
66749,2007740
66749,2007740
66749,2007740
66749,2007740
66749,2007740
66751,2007740
66010,2007750
66056,2007750
66056,2007750
66767,2007750
67643,2007770
67643,2007770
67854,2007800
67854,2007800
66949,2007830
66949,2007830
66963,2007830
67855,2007860
67855,2007860
67855,2007860
67862,2007860
67855,2007860
66441,2007890
66441,2007890
66441,2007890
66442,2007890
66442,2007890
66441,2007890
66442,2007890
66441,2007890
66442,2007890
66441,2007890
66441,2007890
66441,2007890
66442,2007890
66441,2007890
66441,2007890
66514,2007890
66441,2007890
66442,2007890
66101,2007950
66106,2007950
66104,2007950
66101,2007950
66103,2007950
66106,2007950
66104,2007950
66105,2007950
66101,2007950
66104,2007950
66102,2007950
66105,2007950
66104,2007950
66103,2007950
66104,2007950
66102,2007950
66103,2007950
66106,2007950
66102,2007950
66104,2007950
66102,2007950
66101,2007950
66104,2007950
66104,2007950
66106,2007950
66103,2007950
66101,2007950
66102,2007950
66112,2007950
66109,2007950
66106,2007950
66102,2007950
66104,2007950
66112,2007950
66109,2007950
66104,2007950
66109,2007950
66102,2007950
66111,2007950
66112,2007950
66109,2007950
66104,2007950
66109,2007950
66104,2007950
66102,2007950
66102,2007950
66101,2007950
66102,2007950
66418,2007970
66422,2007970
66533,2007970
66533,2007970
66536,2007970
66536,2007970
66951,2008010
66951,2008010
66015,2008040
66015,2008040
66039,2008040
67068,2008070
67068,2008070
67118,2008070
67118,2008070
67547,2008100
67547,2008100
67563,2008100
67547,2008100
67057,2008130
67070,2008130
67070,2008130
67644,2008160
67621,2008160
67859,2008190
67869,2008190
67859,2008190
67548,2008220
67548,2008220
67556,2008220
67548,2008220
66026,2008250
66040,2008250
66072,2008250
66040,2008250
66040,2008250
67860,2008280
67860,2008280
67860,2008280
67514,2008310
67583,2008310
67581,2008310
67583,2008310
66043,2008340
66043,2008340
66043,2008340
66043,2008340
66043,2008340
