zip,leaid
36460,0102400
36439,0102400
36445,0102400
36445,0102400
36425,0102400
36480,0102400
36751,0102400
36460,0102400
36460,0102400
36460,0102400
36104,0102430
36106,0102430
36111,0102430
36105,0102430
36107,0102430
36108,0102430
36108,0102430
36108,0102430
36110,0102430
36106,0102430
36069,0102430
36116,0102430
36104,0102430
36109,0102430
36111,0102430
36105,0102430
36117,0102430
36069,0102430
36104,0102430
36109,0102430
36111,0102430
36106,0102430
36108,0102430
36064,0102430
36109,0102430
36105,0102430
36108,0102430
36109,0102430
36107,0102430
36107,0102430
36104,0102430
36111,0102430
36116,0102430
36108,0102430
36104,0102430
36108,0102430
36109,0102430
36104,0102430
36104,0102430
36043,0102430
36107,0102430
36104,0102430
36108,0102430
36106,0102430
36116,0102430
36116,0102430
36117,0102430
36107,0102430
36107,0102430
36110,0102430
36116,0102430
36102,0102430
36116,0102430
36104,0102430
36116,0102430
35619,0102480
35622,0102480
35673,0102480
35670,0102480
35619,0102480
35621,0102480
35622,0102480
35754,0102480
35603,0102480
35087,0102480
35640,0102480
35670,0102480
35673,0102480
35670,0102480
35223,0102490
35213,0102490
35213,0102490
35223,0102490
35213,0102490
35223,0102490
35661,0102520
35661,0102520
35661,0102520
35661,0102520
35661,0102520
35121,0102550
36802,0102580
36802,0102580
36802,0102580
36802,0102580
36802,0102580
36802,0102580
36802,0102580
36802,0102580
36467,0102610
36467,0102610
36467,0102610
36203,0102635
36203,0102635
36201,0102635
36360,0102640
36360,0102640
36360,0102640
36360,0102640
36360,0102640
36360,0102640
35054,0102650
35125,0102650
35125,0102650
35125,0102650
35125,0102650
36786,0102670
36786,0102670
36786,0102670
36756,0102670
36756,0102670
36756,0102670
36867,0102700
36867,0102700
36867,0102700
36867,0102700
36869,0102700
36867,0102700
36867,0102700
36867,0102700
36867,0102700
35442,0102730
35442,0102730
35442,0102730
35447,0102730
35481,0102730
35466,0102730
35466,0102730
35481,0102730
35447,0102730
36272,0102760
36272,0102760
36272,0102760
36272,0102760
36005,0102790
36010,0102790
36035,0102790
36035,0102790
36010,0102790
36278,0102820
36274,0102820
36276,0102820
36278,0102820
36280,0102820
36274,0102850
36274,0102850
36274,0102850
36801,0102880
36867,0102880
36875,0102880
36875,0102880
36871,0102880
36860,0102880
36875,0102880
36875,0102880
35653,0102910
35653,0102910
35653,0102910
35653,0102910
35768,0102940
35768,0102940
35768,0102940
35768,0102940
35768,0102940
35768,0102940
36701,0102970
36701,0102970
36701,0102970
36701,0102970
36701,0102970
36701,0102970
36701,0102970
36701,0102970
36701,0102970
36701,0102970
36701,0102970
35660,0103000
35660,0103000
35660,0103000
35660,0103000
35043,0103030
35242,0103030
35242,0103030
35040,0103030
35040,0103030
35043,0103030
35051,0103030
35051,0103030
35080,0103030
35115,0103030
35115,0103030
35115,0103030
35124,0103030
35143,0103030
35007,0103030
35007,0103030
35007,0103030
35124,0103030
35178,0103030
35178,0103030
35186,0103030
35244,0103030
35051,0103030
35243,0103030
35007,0103030
35242,0103030
35043,0103030
35007,0103030
35146,0103062
35120,0103062
35953,0103062
35953,0103062
35120,0103062
35004,0103062
35131,0103062
35146,0103062
35987,0103062
35953,0103062
35004,0103062
35953,0103062
35004,0103062
35470,0103090
35470,0103090
35477,0103090
36925,0103090
36907,0103090
36925,0103090
35150,0103120
35150,0103120
35150,0103120
35150,0103120
35150,0103120
35160,0103150
35160,0103150
35160,0103150
35160,0103150
35160,0103150
35160,0103150
35160,0103150
35160,0103150
35044,0103180
35150,0103180
35096,0103180
35044,0103180
35044,0103180
35092,0103180
35160,0103180
35150,0103180
36268,0103180
36268,0103180
35014,0103180
35149,0103180
35044,0103180
35092,0103180
35160,0103180
35010,0103210
36853,0103210
36853,0103210
36850,0103210
36866,0103210
36078,0103240
36078,0103240
36078,0103240
35217,0103270
35217,0103270
35217,0103270
36784,0103300
36784,0103300
36081,0103330
36081,0103330
36081,0103330
35401,0103360
35404,0103360
35404,0103360
35401,0103360
35401,0103360
35404,0103360
35405,0103360
35401,0103360
35405,0103360
